           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1       65810915        1254838        9168069        2120356        1975695          76647              0          68014      13.000001      60.047531           -nan     361.445862       7.178275       10202100       6.065488       1.112786       2.681413        7424367         376654        1743702         155032         273544         318621          58307        1725088           9707          91151
              1              1       85330703        1866388       11900000        2684035        2497407          92518              0          94110      13.000000      51.463184           -nan     367.354614       7.170648       14116500       5.984386       1.186260       2.905189        9661985         446020        2238015         210667         345059         379504          76760        2212013          17350         121580
              2              1       82096483        1766963       11200000        2550842        2371777          88517              0          90548      13.000000      53.584824           -nan     377.202576       7.330043       13582200       6.117346       1.212696       3.049548        9084171         435013        2115829         196698         330632         372315          74786        2090010          15762         116216
              3              1       83627316        1981500       11300000        2562807        2383183          90560              0          89064      13.000000      59.120274           -nan     386.688507       7.400647       13359600       6.218381       1.182266       3.047790        9170854         433661        2129146         198400         329850         367568          73063        2104679          16001         117011
              4              1       79329768        1560850       11100000        2521082        2347071          88111              0          85900      13.000000      49.903759           -nan     367.508972       7.146826       12885000       5.986015       1.160811       2.844056        9005290         426372        2094710         196264         326116         363070          70769        2069901          15131         112479
              5              1       77310554        1219638       11000000        2504616        2332326          87914              0          84376      13.000000      45.138535           -nan     357.829895       7.028232       12656400       5.877650       1.150582       2.744750        8923587         428203        2076413         191953         323653         365319          70680        2051383          13696         109604
              6              1       72356812        1319826       10200000        2272450        2113579          76932              0          81939      13.000000      45.129803           -nan     365.107697       7.093805       12290850       5.888820       1.204985       2.932996        8291746         364196        1908254         185399         292206         310733          65294        1884785          16645         104352
              7              1       74064172        1567138       10200000        2329061        2167565          82338              0          79158      13.000000      52.668148           -nan     376.590118       7.261194       11873700       6.097105       1.164088       2.922561        8270421         399482        1929579         178456         300870         339624          65635        1907099          13523         104704
              8              1       76511268        1696098       10500000        2350796        2184533          79718              0          86545      13.000000      50.982311           -nan     376.477753       7.286787       12981750       6.050430       1.236357       3.103073        8529619         380415        1970381         190925         302832         324425          68821        1946653          17724         109224
              9              1       73540700        1332220       10400000        2341753        2179135          81373              0          81245      13.000000      43.627998           -nan     365.238617       7.071221       12186750       5.899418       1.171803       2.853251        8444368         386121        1955632         186652         302191         328507          66211        1931873          15034         104948
             10              1       81910481        1242146       11700000        2673765        2491184          95516              0          87065      13.000000      44.838856           -nan     358.620636       7.000896       13059750       5.884677       1.116218       2.668659        9486930         460695        2213070         203872         346117         391524          73460        2186725          13605         115870
             11              1       98045552        2005842       13600000        3083983        2869510         107075              0         107398      13.000001      52.530094           -nan     369.456726       7.209232       16109700       6.024695       1.184537       2.917567       11036369         520352        2563631         239516         397866         443409          88102        2533499          19296         138853
             12              1       90096636        2233987       12300000        2816407        2623662          99969              0          92776      13.000001      55.723633           -nan     386.781250       7.324930       13916400       6.193515       1.131415       2.917400        9970523         486930        2329477         213659         364192         414491          78408        2301947          14368         122427
             13              1       82835228        1791934       11400000        2593676        2412599          90986              0          90091      13.000000      50.435505           -nan     377.143036       7.266248       13513650       6.080840       1.185408       2.980455        9248051         441727        2151949         200062         336266         376485          74333        2126205          15758         117781
             14              1       75712173        1501375       10600000        2421848        2255299          85126              0          81423      13.000000      47.785942           -nan     368.500977       7.142658       12213450       5.990446       1.152212       2.830609        8595080         416928        2004920         184218         312882         355312          68292        1981410          13131         106322
             15              1       71703738        1415170       10000000        2262873        2106273          78433              0          78167      13.000000      56.198704           -nan     363.683197       7.170373       11725050       5.997869       1.172505       2.842802        8115611         378484        1884389         177137         291818         322283          64085        1862157          14082         101297
