           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1       54760952         250679        7999999        1765745        1694082              0              0          71663      13.012471           -nan           -nan     345.554138       6.845120       10749450       5.501439       1.343681       3.095431        6500344         266090        1499655         116727         211304         266090          56704        1499655          14959          54140
              1              1       81897436         445598       12000000        2729074        2631435              0              0          97639      13.009027           -nan           -nan     353.322968       6.824787       14645850       5.604299       1.220487       2.874842        9722010         451084        2277990         160729         332472         451084          82478        2277990          15161          70488
              2              1       62650623         423657        9000000        2007141        1929094              0              0          78047      13.027117           -nan           -nan     361.942993       6.961180       11707050       5.660397       1.300783       3.138729        7305449         312590        1694551         127764         241906         312590          63474        1694551          14573          58944
              3              1       76682550         584022       11000000        2500058        2409808              0              0          90250      13.020473           -nan           -nan     369.455750       6.971141       13537500       5.740459       1.230682       3.031217        8911993         412051        2088007         147687         304652         412051          76660        2088007          13590          65806
              4              1       75771248         420052       11000000        2445170        2349400              0              0          95770      13.008142           -nan           -nan     354.087158       6.888295       14365500       5.582341       1.305955       3.082812        8931866         377036        2068134         157572         294293         377036          76598        2068134          19172          71212
              5              1       68293959         313489       10000000        2221300        2133432              0              0          87868      13.008999           -nan           -nan     345.794189       6.829396       13180200       5.511376       1.318020       3.038424        8120455         341755        1879545         143326         267018         341755          70894        1879545          16974          65394
              6              1       47759018         264556        7000000        1598175        1541827              0              0          56348      13.023671           -nan           -nan     353.614960       6.822717        8452200       5.615260       1.207457       2.846499        5669273         267448        1330727          92986         195760         267448          48045        1330727           8303          41204
              7              1       69706384         462162       10000000        2218045        2129758              0              0          88287      13.011645           -nan           -nan     361.229980       6.970638       13243050       5.646334       1.324305       3.189191        8121664         339709        1878336         144363         266299         339709          69896        1878336          18391          65992
              8              1       76934924         512772       11000000        2417852        2318733              0              0          99119      13.011842           -nan           -nan     362.043030       6.994084       14867850       5.642461       1.351623       3.262304        8941612         359464        2058388         162259         288287         359464          77607        2058388          21512          74060
              9              1       79227483         420326       11568070        2617056        2521117              0              0          95939      13.014287           -nan           -nan     353.920227       6.848807       14390850       5.604793       1.244015       2.935213        9377201         426187        2190869         157182         317735         426187          80680        2190869          15259          67384
             10              1       87978613         395645       13000000        2944021        2837365              0              0         106656      13.011208           -nan           -nan     345.892700       6.767586       15998400       5.536940       1.230646       2.837810       10536593         480614        2463407         175979         357629         480614          89503        2463407          17153          77786
             11              1      130806270         726582       19000000        4219160        4053468              0              0         165692      13.003376           -nan           -nan     353.721252       6.884541       24853800       5.576446       1.308095       3.084673       15430300         649460        3569700         271552         506358         649460         133395        3569700          32297         122128
             12              1      111884144         835660       16000000        3592339        3457207              0              0         135132      13.009647           -nan           -nan     369.667572       6.992759       20269800       5.725896       1.266863       3.122120       12979914         572253        3020086         222156         433852         572253         110613        3020086          24519          98622
             13              1       55098767         350907        8000000        1816811        1751761              0              0          65050      13.002753           -nan           -nan     361.706146       6.887346        9757500       5.667658       1.219687       2.941123        6482319         299130        1517681         107058         220781         299130          55374        1517681           9676          46024
             14              1       75815594         428304       11000000        2445945        2349967              0              0          95978      13.018399           -nan           -nan     353.803162       6.892326       14396700       5.583536       1.308791       3.087029        8932264         378209        2067736         157751         294252         378209          76637        2067736          19341          71912
             15              1       60956763         274583        9000000        2035374        1960971              0              0          74403      13.014398           -nan           -nan     345.449493       6.772974       11160450       5.532924       1.240050       2.855831        7295715         331089        1704285         122699         247475         331089          62245        1704285          12158          54374
