           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1       74216130        1113376        9168069        2096836        1952176              0              0         144660      13.000497           -nan           -nan     340.952393       8.095066       21699000       5.728265       2.366802       5.379777        7424367         353134        1743702         126686         259958         353134         116340        1743702          28320         136936
              1              1       96983567        1811753       11900000        2655707        2469080              0              0         186627      13.000232           -nan           -nan     349.071289       8.149879       27994050       5.797439       2.352441       5.474464        9661985         417692        2238015         177026         327223         417692         143275        2238015          43352         179186
              2              1       93547814        2079096       11200000        2524321        2345253              0              0         179068      13.000542           -nan           -nan     356.799744       8.352484       26860200       5.954251       2.398232       5.704591        9084171         408492        2115829         163572         312103         408492         137487        2115829          41581         171904
              3              1       95543682        2433980       11300000        2535265        2355638              0              0         179627      13.001044           -nan           -nan     365.021820       8.455193       26944050       6.070764       2.384429       5.802458        9170854         406119        2129146         164911         312417         406119         139159        2129146          40468         172686
              4              1       90630955        1684003       11100000        2494414        2320402              0              0         174012      13.000586           -nan           -nan     349.110474       8.164950       26101800       5.813437       2.351514       5.472920        9005290         399704        2094710         162938         307746         399704         134072        2094710          39940         166160
              5              1       88444794        1335052       11000000        2478378        2306088              0              0         172290      13.000174           -nan           -nan     340.959351       8.040436       25843500       5.691027       2.349409       5.340353        8923587         401965        2076413         158719         305406         401965         133564        2076413          38726         163952
              6              1       82700234        1544304       10200000        2249358        2090487              0              0         158871      13.000281           -nan           -nan     349.352875       8.107866       23830650       5.771528       2.336338       5.441377        8291746         341104        1908254         156973         276069         341104         118757        1908254          40114         152618
              7              1       84991610        1870890       10200000        2304236        2142741              0              0         161495      13.000741           -nan           -nan     357.109192       8.332511       24224250       5.957584       2.374927       5.654054        8270421         374657        1929579         147719         284608         374657         125492        1929579          36003         154388
              8              1       87059316        1932906       10500000        2326887        2160624              0              0         166263      13.000547           -nan           -nan     357.205933       8.291363       24939450       5.916178       2.375186       5.656203        8529619         356506        1970381         161151         286191         356506         124811        1970381          41452         159664
              9              1       84647263        1575707       10400000        2317595        2154976              0              0         162619      13.000349           -nan           -nan     349.144043       8.139160       24392850       5.793694       2.345466       5.459371        8444368         361963        1955632         156096         285347         361963         123826        1955632          38793         155586
             10              1       94076427        1414351       11700000        2645260        2462679              0              0         182581      13.000262           -nan           -nan     341.130157       8.040720       27387150       5.699938       2.340782       5.323409        9486930         432190        2213070         167302         326281         432190         142632        2213070          39949         173522
             11              1      111216439        2077615       13600000        3051472        2837000              0              0         214472      13.000360           -nan           -nan     349.041504       8.177679       32170800       5.812180       2.365500       5.504385       11036369         487841        2563631         199886         376215         487841         165044        2563631          49428         205232
             12              1      103634365        2592005       12300000        2786161        2593416              0              0         192745      13.000490           -nan           -nan     364.673126       8.425558       28911750       6.075009       2.350549       5.714546        9970523         456684        2329477         176201         343821         456684         150847        2329477          41898         183310
             13              1       94979722        2106000       11400000        2566538        2385461              0              0         181077      13.000617           -nan           -nan     356.911285       8.331554       27161550       5.948963       2.382592       5.669160        9248051         414589        2151949         165876         317631         414589         139575        2151949          41502         174084
             14              1       86728627        1610241       10600000        2396179        2229630              0              0         166549      13.000295           -nan           -nan     348.928345       8.181946       24982350       5.825120       2.356826       5.482421        8595080         391259        2004920         152305         295687         391259         129908        2004920          36641         158968
             15              1       80291253        1219399       10000000        2238951        2082350              0              0         156601      13.000339           -nan           -nan     341.166412       8.029125       23490150       5.680110       2.349015       5.342700        8115611         354562        1884389         148235         276019         354562         120287        1884389          36314         150102
