           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1       50789080         879810        7291213        1851058        1773518          29587              0          47953      13.000000      59.158043           -nan     351.500885       6.965793        7192950       5.979270       0.986523       2.311758        5642588         202433        1648625          11203          40736         173620          46896        1647851           1057          25083
              1              1       65436970        1023854        9200000        2287943        2182455          36719              0          68769      13.000000      51.668209           -nan     359.857330       7.112714       10315350       5.991480       1.121234       2.689894        7162159         250102        2037841          20396          54747         214391          60988        2036833           7781          42033
              2              1       61956046         948934        9000000        2200712        2110422          35910              0          54380      13.000000      53.354889           -nan     374.470795       6.884006        8157000       5.977672       0.906333       2.262636        7034603         235315        1965397          13619          47299         200287          53037        1964515           1343          29289
              3              1       67415327        1158413        9100000        2323492        2216323          37334              0          69835      13.000000      58.343121           -nan     380.477875       7.408278       10475250       6.257151       1.151126       2.919854        7038035         261527        2061965          21042          59218         225130          61942        2061028           7893          45421
              4              1       59504422         836361        8800000        2156454        2069678          35772              0          51004      13.000000      50.519958           -nan     362.939575       6.761867        7650600       5.892480       0.869386       2.103565        6877935         234389        1922065          13561          47032         199560          49522        1921122           1482          28991
              5              1       69641822         906912        9000000        2394703        2263357          35690              0          95656      13.000000      45.194565           -nan     346.425690       7.737980       14348400       6.143714       1.594267       3.681966        6863395         258098        2136605          41940          78598         223336          67725        2135677          27931          83005
              6              1       59167912         796169        7900000        2037674        1933286          31798              0          72590      13.000000      44.837852           -nan     356.949463       7.489609       10888500       6.111318       1.378291       3.279869        6077729         215403        1822271          31234          62733         184374          52399        1821502          20191          65472
              7              1       63514609        1010214        8300000        2094281        1980103          33691              0          80487      13.000001      51.318542           -nan     366.521179       7.652362       12073050       6.197778       1.454584       3.554240        6447519         241800        1852481          27900          62416         209215          65498        1851375          14989          57567
              8              1       66353732        1173400        8500000        2238439        2121868          32447              0          84124      13.000000      51.503960           -nan     367.697876       7.806322       12618600       6.321780       1.484541       3.639084        6488505         226944        2011495          34475          65276         195365          61304        2010627          22820          68780
              9              1       62505812         874391        8600000        2191642        2088013          33713              0          69916      12.999999      42.979000           -nan     360.075195       7.268118       10487400       6.048653       1.219465       2.927328        6651824         243466        1948176          21486          54076         210723          61345        1947206           8571          41576
             10              1       68550962         813059        9800000        2441766        2330244          39271              0          72251      13.000000      45.072063           -nan     349.485992       6.994996       10837650       5.889113       1.105883       2.576603        7627251         269017        2172749          22939          62738         230841          63885        2171654           8366          48244
             11              1       82983337        1328135       11200000        2911949        2772786          44834              0          94329      12.999999      52.288666           -nan     359.147339       7.409226       14149350       6.145892       1.263335       3.024822        8596845         308794        2603155          37475          82869         265221          73191        2601894          21138          76308
             12              1       65571240        1261347        9400000        2313007        2217077          38896              0          57034      13.000000      55.447037           -nan     383.748138       6.975664        8555100       6.065547       0.910117       2.328372        7339909         252916        2060091          19265          54958         215086          51090        2059025           5944          39954
             13              1       68662173        1180621        9000000        2352405        2235960          34900              0          81545      13.000000      50.901775           -nan     369.209473       7.629131       12231750       6.270047       1.359083       3.345243        6898317         250722        2101683          33408          73227         216787          61314        2100718          20231          71266
             14              1       59552233         948030        8400000        2054709        1957619          33047              0          64043      13.000001      49.462433           -nan     359.745453       7.089551        9606450       5.945927       1.143625       2.742759        6563574         218283        1836426          18668          46750         186057          56213        1835605           7830          38532
             15              1       54329219         842236        7900000        2014065        1934522          31024              0          48519      13.000000      54.846828           -nan     352.416779       6.877117        7277850       5.955869       0.921247       2.164419        6091952         206017        1808048          12324          44456         175873          47307        1807168           1212          28384
