           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1       68015974        1770665        9168069        2115768        1971107          49966              0          94695      13.000001      60.206741           -nan     342.474670       7.418790       14204250       5.869472       1.549317       3.537347        7424367         372066        1743702         146362         271633         336735          81009        1729067          13686         103543
              1              1       88326272        2492958       11900000        2678606        2491978          61467              0         125161      13.000000      51.087463           -nan     350.750885       7.422376       18774150       5.844716       1.577660       3.689104        9661985         440591        2238015         200957         343178         400901         103586        2216238          21575         134851
              2              1       84970697        2502268       11200000        2544454        2365389          59257              0         119808      13.000000      53.828003           -nan     359.204041       7.586669       17971200       5.982098       1.604571       3.842457        9084171         428625        2115829         184421         327854         390791          99650        2094406          20158         132811
              3              1       86958059        2728941       11300000        2556738        2377113          59181              0         120444      13.000000      59.101788           -nan     368.592041       7.695403       18066600       6.096589       1.598814       3.928735        9170854         427592        2129146         187825         327798         388525         100090        2109032          20354         130610
              4              1       82269715        2152837       11100000        2514783        2340772          58432              0         115579      13.000000      49.967484           -nan     350.419861       7.411686       17336850       5.849808       1.561878       3.648755        9005290         420073        2094710         184154         323315         381917          95915        2074434          19664         127013
              5              1       80319517        1716022       11000000        2497586        2325296          57469              0         114821      13.000000      45.182880           -nan     341.487701       7.301775       17223150       5.736033       1.565741       3.564542        8923587         421173        2076413         179586         321043         384424          96815        2055693          18006         124701
              6              1       74824129        1740283       10200000        2267429        2108558          52511              0         106360      13.000000      44.884632           -nan     349.870483       7.335699       15954000       5.771581       1.564118       3.648257        8291746         359175        1908254         176450         290264         326688          86270        1888230          20090         115990
              7              1       76988312        2149899       10200000        2323234        2161738          54496              0         107000      13.000000      52.052406           -nan     359.521240       7.547873       16050000       5.974344       1.573529       3.771448        8270421         393655        1929579         167968         298767         357612          89450        1911126          17550         117249
              8              1       78990885        2274204       10500000        2345527        2179264          54285              0         111978      13.000000      51.142139           -nan     359.155212       7.522942       16796700       5.923255       1.599686       3.830237        8529619         375146        1970381         181770         300959         340949          90614        1950293          21364         121797
              9              1       76402072        1826386       10400000        2336613        2173996          54853              0         107764      13.000000      43.411938           -nan     350.147430       7.346353       16164600       5.792065       1.554289       3.628201        8444368         380981        1955632         176766         300109         346022          88865        1935738          18899         118076
             10              1       85033958        1765198       11700000        2666718        2484139          63615              0         118964      13.000000      45.004246           -nan     341.464294       7.267860       17844600       5.742681       1.525180       3.471962        9486930         453648        2213070         190490         342810         411439         100421        2191664          18543         132454
             11              1      101341969        2737528       13600000        3076090        2861617          70726              0         143747      13.000000      52.563046           -nan     350.711304       7.451615       21562050       5.866170       1.585445       3.706889       11036369         512459        2563631         225589         394933         466612         119198        2538752          24549         156741
             12              1       93780419        3227166       12300000        2809207        2616462          66196              0         126549      13.000001      55.305637           -nan     368.358276       7.624424       18982350       6.081144       1.543280       3.789868        9970523         479730        2329477         200063         361204         436122         107239        2306889          19310         139609
             13              1       85951885        2511841       11400000        2587764        2406688          60893              0         120183      13.000000      50.504704           -nan     359.287933       7.539639       18027450       5.958283       1.581355       3.787746        9248051         435815        2151949         188122         333415         395996          99755        2130875          20428         134137
             14              1       78517238        2143169       10600000        2415716        2249167          56951              0         109598      13.000000      48.138313           -nan     350.584778       7.407287       16439700       5.856371       1.550915       3.624848        8595080         410796        2004920         173142         310427         373211          92323        1985554          17275         121237
             15              1       73423573        1954113       10000000        2257915        2101315          53134              0         103466      13.000000      56.752323           -nan     341.992950       7.342358       15519900       5.790367       1.551990       3.538464        8115611         373526        1884389         167984         289834         338907          85667        1865874          17799         114251
