           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1      145145452        7430319       10709999        2592149        1940242         288364              0         363543      13.000000      57.656685           -nan     367.148041      13.552331       54531450       8.460691       5.091639      12.462568        8690433         572583        2019566         313470         466776         446891         309789        1856894          53754         517769
              1              1      148054568        7432488       10850000        2634056        1976707         288527              0         368822      13.000001      51.549274           -nan     374.596649      13.645581       55323300       8.546660       5.098922      12.733593        8799640         583696        2050360         314014         472260         453947         312477        1891582          56345         530482
              2              1      154443942        8024684       10970000        2650362        1983105         291765              0         375492      12.999999      51.894703           -nan     385.860168      14.078754       56323800       8.944407       5.134348      13.207603        8906411         586773        2063589         321009         471338         459282         319340        1899315          56152         517845
              3              1      153945290        9427571       10450000        2539072        1903259         272981              0         362832      13.000001      57.615082           -nan     397.338501      14.731607       54424800       9.523492       5.208115      13.795897        8479301         568373        1970699         291346         443764         444400         309488        1821691          53344         504875
              4              1      162494355        8016194       11870000        2866880        2146758         317317              0         402805      13.000000      50.972973           -nan     376.915131      13.689499       60420750       8.599293       5.090207      12.790505        9635765         632645        2234235         349089         513433         493061         340922        2056502          61883         567420
              5              1      150794345        6234206       11410000        2768947        2072721         305569              0         390657      12.999999      44.547237           -nan     365.825043      13.215981       58598550       8.080262       5.135719      12.525164        9251652         610599        2158348         337854         497945         476998         331386        1986380          59271         549594
              6              1      143024252        6414201       10660000        2576692        1933238         284027              0         359427      13.000000      44.636375           -nan     375.259369      13.416909       53914050       8.359305       5.057603      12.652754        8655110         571802        2004890         303956         456682         442937         303390        1849728          56037         516084
              7              1      152554211        8261615       10790000        2628995        1972867         285657              0         370471      13.000001      51.145432           -nan     387.033081      14.138481       55570650       8.988282       5.150199      13.288650        8747799         586794        2042201         306374         465999         455398         314328        1887940          56143         531124
              8              1      163274571        8680210       11550000        2806006        2104353         306994              0         394659      13.000000      51.062477           -nan     388.205963      14.136327       59198850       9.010885       5.125442      13.264847        9364947         620953        2185053         335887         501470         483769         334932        2015243          59727         561835
              9              1      140804954        6406726       10310000        2505056        1878590         269106              0         357360      13.000000      44.095894           -nan     376.947571      13.657125       53604000       8.457900       5.199224      13.065566        8364259         559315        1945741         285648         437828         436571         304035        1799379          53325         504538
             10              1      142513441        5879951       10800000        2617513        1964539         288141              0         364833      13.000001      44.272419           -nan     368.374664      13.195689       54724950       8.128564       5.067125      12.444003        8763297         580810        2036703         307670         465346         449634         308298        1879738          56535         528352
             11              1      160554677        7977190       11460000        2778910        2081108         299683              0         398119      13.000000      50.625175           -nan     381.803802      14.010006       59717850       8.799025       5.210981      13.263817        9300600         619510        2159400         324993         487252         485465         339610        1993762          58509         547129
             12              1      165520308       10284324       11150000        2717027        2040613         289068              0         387346      12.999999      57.243305           -nan     400.799561      14.844871       58101900       9.633938       5.210933      13.923597        9041877         608904        2108123         307500         475459         474134         328796        1953825          58550         549236
             13              1      159838588        8284889       11248070        2724894        2043611         298455              0         382828      13.000001      51.058018           -nan     391.527771      14.210313       57424200       9.105062       5.105249      13.325645        9126719         603543        2121351         323290         483796         468947         323736        1957492          59092         544332
             14              1      158512531        7812485       11500000        2782127        2090054         306731              0         385342      13.000000      51.205536           -nan     382.214203      13.783698       57801300       8.757499       5.026200      12.807234        9335454         617581        2164546         323572         490226         476074         325120        1999322          60222         560204
             15              1      150774917        7386636       10840000        2624361        1966142         291512              0         366707      13.000000      57.616058           -nan     378.445007      13.909124       55006050       8.834766       5.074358      12.802439        8795708         580069        2044292         318848         473961         451281         310801        1881568          55906         524130
