           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1       55245057         438842        7999999        1768145        1696482           9589              0          62074      13.000000      73.549690           -nan     372.153564       6.905633        9311100       5.741745       1.163888       2.887633        6500344         268490        1499655         118126         211689         262952          51166        1495604          10908          47970
              1              1       81581761         747884       12000000        2734613        2636974          15249              0          82390      13.000001      53.080856           -nan     376.914764       6.798480       12358500       5.768605       1.029875       2.587834        9722010         456623        2277990         164427         334667         446360          72215        2273004          10175          62229
              2              1       62970208         533342        9000000        2009860        1931812          11413              0          66635      13.000000      66.738892           -nan     391.983063       6.996690        9995250       5.886106       1.110583       2.902199        7305449         315309        1694551         129625         242287         308209          56375        1690238          10260          49739
              3              1       76974355         693857       11000000        2502952        2412702          13355              0          76895      13.000000      63.431076           -nan     400.613983       6.997668       11534250       5.949100       1.048568       2.800474        8911993         414945        2088007         150177         305139         406426          68141        2083171           8754          57750
              4              1       75784777         524295       11000000        2449694        2353922          14281              0          81491      13.000000      57.964638           -nan     379.535522       6.889525       12223650       5.778285       1.111241       2.811703        8931866         381560        2068134         160349         295858         372793          67833        2062620          13658          63053
              5              1       67677330         451376       10000000        2224591        2136724          14031              0          73836      13.000000      45.418358           -nan     365.835449       6.767733       11075400       5.660193       1.107540       2.701183        8120455         345046        1879545         145312         267197         336340          62187        1874220          11649          57647
              6              1       47187161         349078        7000000        1602194        1545847           9881              0          46466      13.000001      45.734543           -nan     374.805847       6.741023        6969900       5.745323       0.995700       2.487961        5669273         271467        1330727          94060         196018         264396          40973        1327917           5493          36570
              7              1       70120873         614598       10000000        2221766        2133479          13413              0          74874      13.000000      69.252441           -nan     392.034088       7.012087       11231100       5.888977       1.123110       2.935316        8121664         343430        1878336         146622         267479         335656          62122        1872697          12752          58223
              8              1       76367213         662843       11000000        2422299        2323180          16187              0          82932      13.000000      52.501080           -nan     386.132446       6.942474       12439800       5.811583       1.130891       2.911158        8941612         363911        2058388         164908         289458         354402          68098        2051710          14834          65438
              9              1       78393562         557430       11568070        2622536        2526597          16687              0          79252      13.000000      47.204891           -nan     376.158234       6.776719       11887800       5.749080       1.027639       2.577033        9377201         431667        2190869         159990         318548         420141          69154        2185708          10098          59544
             10              1       87576694         527021       13000000        2949909        2843253          16757              0          89899      13.000000      47.644447           -nan     368.753876       6.736669       13484850       5.699372       1.037296       2.550046       10536593         486502        2463407         178894         358794         474971          77972        2458181          11927          68957
             11              1      130872144        1051419       19000000        4225970        4060276          24998              0         140696      13.000000      55.785343           -nan     380.084320       6.888008       21104400       5.777250       1.110758       2.814544       15430300         656270        3569700         276661         508663         640956         118083        3560016          22613         107465
             12              1      111733952        1101926       16000000        3597439        3462307          19002              0         116130      13.000000      51.189507           -nan     395.789856       6.983372       17419500       5.894653       1.088719       2.872692       12979914         577353        3020086         226837         436515         565837          99097        3012600          17033          86978
             13              1       55534467         460649        8000000        1819289        1754240           9366              0          55683      13.000000      60.298847           -nan     394.642975       6.941809        8352450       5.897752       1.044056       2.746863        6482319         301608        1517681         109615         221924         295457          49222        1514466           6461          40596
             14              1       76021803         697454       11000000        2449736        2353758          14405              0          81573      13.000000      57.207012           -nan     382.283844       6.911073       12235950       5.798714       1.112359       2.834913        8932264         382000        2067736         160318         295581         373673          68310        2061658          13263          63540
             15              1       61458586         472720        9000000        2039721        1965318          12019              0          62384      13.000000      63.532074           -nan     378.664795       6.828732        9357600       5.788998       1.039733       2.624736        7295715         335436        1704285         124273         248022         327379          54188        1700323           8196          47989
