           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1       29067561         104695        4999999        1284113        1276229           1715              0           6169      13.000000      66.615158           -nan     346.900787       5.813513         925350       5.628444       0.185070       0.428006        3838384         122498        1161615           4804          31458         120844           6004        1161554            165           3205
              1              1       63927316         230041       11000000        2839017        2822611           4523              0          11883      13.000000      51.410347           -nan     361.890503       5.811574        1782450       5.649533       0.162041       0.390940        8412571         251588        2587429          10160          63269         247154          11555        2587340            328           6641
              2              1       42839651         242628        7000000        1566121        1535386           2547              0          28188      13.000000      53.888103           -nan     378.492371       6.119950        4228200       5.515922       0.604029       1.524135        5574794         140915        1425206           5528          23614         138408          27977        1425166            211           4230
              3              1       57265098         254333        7000000        2044560        1964689           2401              0          77470      12.999999      58.363598           -nan     365.795654       8.180728       11620500       6.520657       1.660071       4.048313        5085761         130321        1914239          72860          97240         128009          10071        1914150          67399         139204
              4              1       45286471         136458        8000000        1917443        1903905           3721              0           9817      12.999999      56.525398           -nan     361.643463       5.660809        1472550       5.476740       0.184069       0.443782        6263882         181325        1736118           7721          42275         177704           9573        1736018            244           4828
              5              1       43320522         122021        7391214        1930970        1918585           3076              0           9309      12.999999      42.715214           -nan     350.536377       5.861083        1396350       5.672163       0.188920       0.441489        5606424         146180        1784790           5306          40476         143163           9044        1784731            265           4756
              6              1       38288486         113984        7000000        1562680        1551418           3321              0           7941      13.000000      42.454380           -nan     359.935913       5.469784        1191150       5.299619       0.170164       0.408322        5581440         144120        1418560           6641          31140         140897           7725        1418462            216           4267
              7              1       50013269         217421        9000000        2037364        2021801           3886              0          11677      12.999999      64.001541           -nan     372.080841       5.557030        1751550       5.362413       0.194617       0.482754        7149959         187323        1850041           7909          44405         183561          11399        1849917            278           5710
              8              1       61001011         324834       10000000        2515881        2482682           4678              0          28521      13.000000      49.761864           -nan     361.808899       6.100101        4278150       5.672286       0.427815       1.031915        7722386         238267        2277614          16308          64281         233786          21451        2277417           7070          21278
              9              1       51576071         178853        9000000        2210457        2194697           3836              0          11924      13.000000      43.838375           -nan     360.350311       5.730675        1788600       5.531941       0.198733       0.477424        6990628         201085        2009372           8332          53094         197378          11609        2009243            315           6370
             10              1       66208461         185430       11000000        2711612        2676211           4333              0          31068      13.000000      43.030464           -nan     354.908691       6.018951        4660200       5.595296       0.423655       1.002391        8524181         235793        2475819           9528          50163         231636          30734        2475643            334           6832
             11              1      112639926         405028       14000000        3814805        3635496           5340              0         173969      13.000000      54.912361           -nan     348.481689       8.045710       26095350       6.181756       1.863954       4.330358       10583488         398293        3416512          84483         150233         393051         105415        3416414          68554         145661
             12              1       84592734         421209       13000000        3231394        3165748           4984              0          60662      13.000000      49.635635           -nan     378.888062       6.507133        9099300       5.807187       0.699946       1.768008       10073560         304954        2926440          25955          79356         300086          46999        2926324          13663          34724
             13              1       38541498         162747        7000000        1534748        1521709           3198              0           9841      12.999999      55.116322           -nan     372.260223       5.505928        1476150       5.295050       0.210879       0.523345        5604679         139427        1395321           5674          29927         136321           9644        1395229            197           4527
             14              1       55577383         337925        9000000        2207791        2172724           3464              0          31603      13.000000      52.924942           -nan     364.283844       6.175265        4740450       5.648548       0.526717       1.279162        6989014         196805        2010986          10225          41037         193413          28957        2010914           2646          10503
             15              1       40047821         128003        7000000        1748149        1737495           3048              0           7606      13.000001      60.248032           -nan     349.999603       5.721117        1140900       5.558131       0.162986       0.380300        5400989         149138        1599011           6108          38429         146199           7434        1598902            172           4173
