           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1      111832464        5838307        8339999        2288906        1913999          49162              0         325745      13.000001      57.519997           -nan     352.518555      13.409170       48861750       7.550446       5.858724      13.768724        6454154         403061        1885845          27098          77221         355675         306664        1884069          19081         140507
              1              1      118983290        5597509        8630000        2375825        1987712          52229              0         335884      13.000000      51.994083           -nan     363.362091      13.787171       50382600       7.949095       5.838077      14.142238        6670825         416650        1959175          29632          82716         366289         314669        1957307          21215         150545
              2              1      124552571        5854005        8830000        2413427        2019482          53604              0         340341      13.000000      51.873295           -nan     374.095734      14.105614       51051150       8.324057       5.781558      14.419040        6840108         423535        1989892          29295          82380         371939         319835        1987884          20506         149493
              3              1      123793251        6710580        8480000        2321222        1940708          53081              0         327433      13.000000      58.250656           -nan     385.149506      14.598260       49114950       8.806404       5.791858      14.871540        6568730         409952        1911270          28564          80901         358755         307071        1909386          20362         147619
              4              1      129901865        6063585        9510000        2590539        2168300          57295              0         364944      13.000000      51.003422           -nan     363.822784      13.659502       54741600       7.903287       5.756215      13.961614        7378036         458575        2131964          27107          86471         403262         346908        2129982          18036         156861
              5              1      119875182        4753164        9030000        2491272        2088106          53959              0         349207      13.000000      44.892769           -nan     352.433655      13.275214       52381050       7.474433       5.800780      13.629270        6974716         435988        2055284          26179          84247         383917         331465        2053396          17742         153628
              6              1      116272640        4599463        8580000        2353895        1976106          51515              0         326274      13.000000      44.685799           -nan     363.326691      13.551590       48941100       7.847498       5.704091      13.816323        6636030         409925        1943970          24303          77813         360228         309956        1942152          16318         141749
              7              1      120539736        5657345        8580000        2330530        1952521          49689              0         328320      12.999999      50.802933           -nan     375.037170      14.048921       49248000       8.309060       5.739860      14.351073        6660199         410729        1919801          22057          76038         362819         314302        1918022          14018         138032
              8              1      129204286        6097883        9130000        2516437        2110654          53551              0         352232      13.000000      50.970272           -nan     374.839264      14.151620       52834800       8.364676       5.786944      14.461160        7050127         436564        2079873          28142          86024         384941         333070        2077945          19162         156669
              9              1      114253171        4681594        8340000        2310460        1939935          48356              0         322169      13.000001      44.069321           -nan     363.597137      13.699421       48325350       7.905015       5.794407      14.045531        6428275         398735        1911725          24638          78731         352208         305590        1909896          16579         143484
             10              1      113871627        4489924        8610000        2350364        1967328          51572              0         331464      13.000000      44.305592           -nan     352.835083      13.225508       49719600       7.450874       5.774634      13.583290        6675546         415910        1934454          23816          78349         366228         315990        1932564          15474         142231
             11              1      127139520        6005053        9211214        2527038        2113844          54064              0         359130      13.000000      50.965446           -nan     363.993866      13.802689       53869500       7.954436       5.848252      14.191519        7125940         441764        2085274          30945          88654         389646         336783        2083328          22347         162351
             12              1      129402843        6988311        8920000        2453186        2059787          53402              0         339997      13.000001      56.602188           -nan     385.891785      14.507045       50999550       8.789607       5.717439      14.708750        6891855         425041        2028145          26811          82058         373495         321714        2026289          18283         149453
             13              1      127262868        5887776        9110000        2486540        2087686          54967              0         343887      13.000000      51.698456           -nan     375.105530      13.969579       51583050       8.307334       5.662245      14.159595        7057511         434051        2052489          25321          81278         380977         327244        2050596          16643         147492
             14              1      123605886        5752744        9160000        2491748        2092749          56129              0         342870      12.999999      50.651875           -nan     364.519653      13.494093       51430500       7.879409       5.614684      13.644417        7103438         435186        2056562          25390          81369         380915         326332        2054704          16538         147320
             15              1      119156793        6095152        8930000        2464854        2071697          50113              0         343044      12.999999      57.149143           -nan     353.954529      13.343426       51456600       7.581209       5.762217      13.597086        6886650         421504        2043350          27254          83437         373211         324583        2041530          18461         151991
