           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1       28820034          58708        4999999        1285563        1277679           3732              0           4152      13.000000      68.141479           -nan     345.711700       5.764008         622800       5.639448       0.124560       0.287079        3838384         123948        1161615           5323          31488         120308           4018        1161523            134           2530
              1              1       62978223         113145       11000000        2843619        2827213          10720              0           5686      13.000000      51.696640           -nan     361.242188       5.725293         852900       5.647757       0.077536       0.186729        8412571         256190        2587429          11299          63367         245699           5498        2587200            188           5199
              2              1       42464205         198426        7000000        1568070        1537335           5199              0          25536      13.000001      55.143105           -nan     380.904266       6.066315        3830400       5.519115       0.547200       1.389539        5574794         142864        1425206           5872          23664         137784          25404        1425087            132           3894
              3              1       57249019         184460        7000000        2046491        1966620           5038              0          74833      13.000000      56.724495           -nan     370.980774       8.178432       11224950       6.574867       1.603564       3.965943        5085761         132252        1914239          73443          97330         127404           7535        1914049          67298         138251
              4              1       44756064          75947        8000000        1920170        1906632           7366              0           6172      13.000000      56.852295           -nan     362.505524       5.594508         925800       5.478783       0.115725       0.279673        6263882         184052        1736118           8562          42356         176878           6020        1735926            152           3932
              5              1       42659124          62995        7391214        1934284        1921899           7514              0           4871      13.000001      43.311420           -nan     350.822205       5.771599         730650       5.672745       0.098854       0.231201        5606424         149494        1784790           6320          40577         142156           4723        1784614            148           3747
              6              1       37897883          76025        7000000        1564431        1553169           5758              0           5504      12.999999      42.295589           -nan     360.109192       5.413983         825600       5.296041       0.117943       0.283149        5581440         145871        1418560           7190          31183         140269           5346        1418404            158           3626
              7              1       49429168         128497        9000000        2040172        2024609           7703              0           7860      12.999999      62.226795           -nan     372.701538       5.492130        1179000       5.361130       0.131000       0.325493        7149959         190131        1850041           8731          44493         182655           7685        1849814            175           4782
              8              1       60128578         226500       10000000        2519718        2486519          10021              0          23178      13.000000      50.314240           -nan     359.629211       6.012857        3476700       5.665188       0.347670       0.833549        7722386         242104        2277614          17670          64402         232407          16235        2277290           6943          19444
              9              1       50823204         103222        9000000        2213766        2198006           8629              0           7131      13.000000      43.835785           -nan     362.055115       5.647023        1069650       5.528172       0.118850       0.286868        6990628         204394        2009372           9689          53244         196054           6976        2009083            155           4948
             10              1       65604141         122957       11000000        2715093        2679692           8971              0          26430      13.000000      42.296398           -nan     359.382629       5.964013        3964500       5.603604       0.360409       0.863498        8524181         239274        2475819          10595          50267         230591          26208        2475531            222           5711
             11              1      111864974         268571       14000000        3820253        3640944          13494              0         165815      13.000000      53.829479           -nan     350.627716       7.990355       24872250       6.213766       1.776589       4.152810       10583488         403741        3416512          86695         150672         390874          97790        3415885          68025         143647
             12              1       84027119         299885       13000000        3235928        3170282          11585              0          54061      12.999999      49.697453           -nan     389.460846       6.463624        8109150       5.839844       0.623781       1.619588       10073560         309488        2926440          27739          79821         298552          40931        2925791          13130          33265
             13              1       38016598         125073        7000000        1537396        1524357           6498              0           6541      12.999999      53.884579           -nan     373.513672       5.430943         981150       5.290778       0.140164       0.349022        5604679         142075        1395321           6204          29994         135743           6418        1395155            123           4074
             14              1       55009845         251481        9000000        2210821        2175754           7540              0          27527      13.000000      53.780903           -nan     366.223999       6.112205        4129050       5.653422       0.458783       1.120116        6989014         199835        2010986          11031          41156         192499          25013        2010782           2514           9594
             15              1       39592083          66885        7000000        1750682        1740028           6506              0           4148      13.000000      60.153397           -nan     350.676697       5.656012         622200       5.567126       0.088886       0.207801        5400989         151671        1599011           6929          38484         145341           4043        1598835            105           3328
