           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1       29250830         137435        4999999        1282984        1275100            276              0           7608      13.000000      66.000000           -nan     347.853455       5.850167        1141200       5.621927       0.228240       0.529294        3838384         121369        1161615           4541          31408         121102           7391        1161606            217           3548
              1              1       64481009         301165       11000000        2836223        2819817            896              0          15510      13.000000      49.991070           -nan     361.944885       5.861910        2326500       5.650410       0.211500       0.510342        8412571         248794        2587429           9377          63216         247927          15122        2587400            388           7517
              2              1       43150407         280272        7000000        1564494        1533759            603              0          30132      13.000001      54.800995           -nan     378.062439       6.164344        4519800       5.518658       0.645686       1.627397        5574794         139288        1425206           5240          23589         138699          29895        1425192            237           4605
              3              1       57507932         298151        7000000        2043314        1963443            803              0          79068      13.000001      64.758408           -nan     365.777740       8.215419       11860200       6.521104       1.694314       4.131616        5085761         129075        1914239          72517          97180         128297          11605        1914214          67463         139730
              4              1       45655269         175658        8000000        1915503        1901965           1247              0          12291      12.999999      58.137131           -nan     361.840851       5.706909        1843650       5.476452       0.230456       0.555923        6263882         179385        1736118           7308          42196         178151          11960        1736105            331           5504
              5              1       43683754         153412        7391214        1929146        1916761            658              0          11727      12.999999      42.489361           -nan     350.537140       5.910227        1759050       5.672235       0.237992       0.556167        5606424         144356        1784790           4724          40437         143717          11422        1784771            305           5300
              6              1       38735504         144877        7000000        1560419        1549157            585              0          10677      12.999999      44.989742           -nan     360.864563       5.533643        1601550       5.304850       0.228793       0.550422        5581440         141859        1418560           6260          31077         141300          10389        1418534            288           4638
              7              1       50457771         284964        9000000        2035006        2019443            958              0          14605      13.000001      63.755741           -nan     372.454773       5.606419        2190750       5.363002       0.243417       0.604411        7149959         184965        1850041           7378          44336         184058          14254        1849990            351           6454
              8              1       61635379         369899       10000000        2512976        2479777            876              0          32323      13.000000      51.397259           -nan     363.228424       6.163538        4848450       5.678693       0.484845       1.174063        7722386         235362        2277614          15601          64118         234511          25081        2277589           7242          21908
              9              1       52011208         215320        9000000        2208324        2192564           1155              0          14605      13.000000      47.696102           -nan     360.733246       5.779023        2190750       5.535606       0.243417       0.585390        6990628         198952        2009372           7808          52982         197814          14178        2009355            427           6989
             10              1       66703484         228508       11000000        2708941        2673540           1010              0          34391      13.000000      44.817822           -nan     354.385468       6.063953        5158650       5.594985       0.468968       1.107970        8524181         233122        2475819           8915          50032         232156          33925        2475775            466           7566
             11              1      113270615         470902       14000000        3811385        3632076            925              0         178384      13.000000      55.752434           -nan     348.651306       8.090758       26757600       6.179501       1.911257       4.442415       10583488         394873        3416512          83637         150195         393995         109779        3416465          68605         146484
             12              1       85290162         513937       13000000        3228091        3162445            846              0          64800      13.000000      48.787235           -nan     378.724945       6.560781        9720000       5.813089       0.747692       1.887798       10073560         301651        2926440          25243          79282         300843          51059        2926402          13741          35591
             13              1       38963828         199323        7000000        1532629        1519590            580              0          12459      13.000000      57.379311           -nan     372.631439       5.566261        1868850       5.299282       0.266979       0.663231        5604679         137308        1395321           5261          29866         136749          12191        1395300            268           4927
             14              1       55975404         400860        9000000        2205746        2170679            801              0          34266      13.000000      49.576778           -nan     364.034424       6.219489        5139900       5.648389       0.571100       1.386000        6989014         194760        2010986           9741          40998         193981          31570        2010964           2696          11177
             15              1       40372396         169200        7000000        1746249        1735595            605              0          10049      13.000001      59.442974           -nan     350.263214       5.767485        1507350       5.552150       0.215336       0.502828        5400989         147238        1599011           5586          38359         146670           9805        1598974            244           4750
