           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1      112724346        1871833        8339999        2245651        1870744              0              0         374907      13.009266           -nan           -nan     336.991150      13.516110       56236050       6.773178       6.742932      15.148725        6454154         359806        1885845          21800          75489         359806         354050        1885845          20857         149048
              1              1      119851237        2282559        8630000        2329682        1941569              0              0         388113      13.012524           -nan           -nan     345.009094      13.887745       58216950       7.141864       6.745881      15.515935        6670825         370507        1959175          24154          80888         370507         365030        1959175          23083         159492
              2              1      124966885        2609625        8830000        2366543        1972598              0              0         393945      13.010854           -nan           -nan     352.848938      14.152535       59091750       7.460378       6.692158      15.742137        6840108         376651        1989892          23524          80419         376651         371431        1989892          22514         158702
              3              1      123503748        2862606        8480000        2274316        1893802              0              0         380514      13.015271           -nan           -nan     360.868347      14.564120       57077100       7.833331       6.730790      16.192860        6568730         363046        1911270          23210          79092         363046         358268        1911270          22246         156312
              4              1      130678314        2438338        9510000        2539995        2117756              0              0         422239      13.012184           -nan           -nan     344.704102      13.741147       63335850       7.081226       6.659921      15.304682        7378036         408031        2131964          21037          84552         408031         402221        2131964          20018         166984
              5              1      121587709        2025017        9030000        2443832        2040666              0              0         403166      13.010080           -nan           -nan     336.722046      13.464863       60474900       6.767753       6.697110      15.033763        6974716         388548        2055284          20508          82399         388548         383536        2055284          19630         163154
              6              1      117496795        2185367        8580000        2308501        1930712              0              0         377789      13.011191           -nan           -nan     344.715668      13.694264       56668350       7.089562       6.604703      15.178296        6636030         364531        1943970          18959          76023         364531         359653        1943970          18136         150428
              7              1      120365165        2456913        8580000        2286917        1908908              0              0         378009      13.015399           -nan           -nan     352.748383      14.028574       56701350       7.420025       6.608549      15.541033        6660199         367116        1919801          16563          74296         367116         362212        1919801          15797         146988
              8              1      129181419        2713221        9130000        2469539        2063756              0              0         405783      13.015747           -nan           -nan     352.913147      14.149115       60867450       7.482362       6.666752      15.685231        7050127         389666        2079873          22118          84149         389666         384693        2079873          21090         166284
              9              1      115068537        2175849        8340000        2268203        1897678              0              0         370525      13.009776           -nan           -nan     344.763580      13.797187       55578750       7.133068       6.664119      15.316970        6428275         356478        1911725          19272          76958         356478         352117        1911725          18408         151970
             10              1      115395371        1905277        8610000        2304871        1921835              0              0         383036      13.009489           -nan           -nan     336.608795      13.402482       57455400       6.729381       6.673101      14.974831        6675546         370417        1934454          18318          76504         370417         365672        1934454          17364         151124
             11              1      127663824        2441199        9211214        2479523        2066329              0              0         413194      13.014814           -nan           -nan     345.007324      13.859609       61979100       7.130952       6.728657      15.476240        7125940         394249        2085274          25175          86752         394249         388901        2085274          24293         171774
             12              1      128702755        2926549        8920000        2406267        2012868              0              0         393399      13.016271           -nan           -nan     360.883942      14.428559       59009850       7.813106       6.615454      15.916074        6891855         378122        2028145          20992          80243         378122         373260        2028145          20139         158732
             13              1      127401435        2608833        9110000        2438181        2039327              0              0         398854      13.012426           -nan           -nan     352.704224      13.984790       59828100       7.417490       6.567300      15.442096        7057511         385692        2052489          19472          79430         385692         380318        2052489          18536         157024
             14              1      124489715        2298329        9160000        2442435        2043436              0              0         398999      13.012665           -nan           -nan     344.853790      13.590580       59849850       7.056754       6.533826      15.021432        7103438         385873        2056562          19296          79541         385873         380603        2056562          18396         157238
             15              1      119386768        1985160        8930000        2421060        2027903              0              0         393157      13.008382           -nan           -nan     336.897888      13.369179       58973550       6.765198       6.603981      14.832448        6886650         377710        2043350          21475          81661         377710         372876        2043350          20281         161156
