           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1      172092228        5521153       10709999        2461719        1809812              0              0         651907      13.060091           -nan           -nan     339.767975      16.068369       97786050       6.938019       9.130351      20.681339        8690433         442153        2019566         233310         368432         442153         435481        2019566         216426         710798
              1              1      179063415        7019355       10850000        2499185        1841836              0              0         657349      13.061687           -nan           -nan     347.693298      16.503540       98602350       7.415766       9.087774      21.065054        8799640         448825        2050360         233204         373720         448825         442226        2050360         215123         719424
              2              1      186889773        8403513       10970000        2516838        1849581              0              0         667257      13.071959           -nan           -nan     355.846680      17.036442      100088550       7.912600       9.123842      21.644592        8906411         453249        2063589         236976         367681         453249         446831        2063589         220426         709908
              3              1      183173959        9403963       10450000        2409869        1774056              0              0         635813      13.080152           -nan           -nan     363.661316      17.528608       95371950       8.402106       9.126503      22.126373        8479301         439170        1970699         216129         350235         439170         433461        1970699         202352         680486
              4              1      196001042        7613406       11870000        2721987        2001865              0              0         720122      13.061193           -nan           -nan     347.758514      16.512302      108018300       7.412194       9.100110      21.097605        9635765         487752        2234235         258824         403646         487752         480506        2234235         239616         777132
              5              1      183768306        5860024       11410000        2630658        1934432              0              0         696226      13.057674           -nan           -nan     339.839355      16.105898      104433900       6.953059       9.152840      20.736633        9251652         472310        2158348         249900         390722         472310         464987        2158348         231239         751858
              6              1      175354397        6851463       10660000        2443371        1799917              0              0         643454      13.061516           -nan           -nan     347.675140      16.449757       96518100       7.395525       9.054231      20.986206        8655110         438481        2004890         226994         362582         438481         432255        2004890         211199         701336
              7              1      183816852        8404368       10790000        2493967        1837839              0              0         656128      13.073206           -nan           -nan     355.603638      17.035852       98419200       7.914518       9.121335      21.623865        8747799         451766        2042201         226991         369497         451766         445724        2042201         210404         713888
              8              1      196577703        8956821       11550000        2664081        1962428              0              0         701653      13.068314           -nan           -nan     355.620605      17.019714      105247950       7.907338       9.112377      21.603661        9364947         479028        2185053         247914         394694         479028         472116        2185053         229537         760068
              9              1      170488352        6630182       10310000        2378328        1751862              0              0         626466      13.061971           -nan           -nan     347.633331      16.536213       93969900       7.421770       9.114443      21.123226        8364259         432587        1945741         212496         347820         432587         426779        1945741         199687         677210
             10              1      172672376        5551450       10800000        2482664        1829690              0              0         652974      13.053844           -nan           -nan     339.649017      15.988184       97946100       6.919099       9.069083      20.535368        8763297         445961        2036703         230018         370611         445961         439474        2036703         213500         716300
             11              1      189855726        7293438       11460000        2639400        1941598              0              0         697802      13.065572           -nan           -nan     347.800873      16.566818      104670300       7.433283       9.133534      21.177673        9300600         480000        2159400         239190         381781         480000         473655        2159400         224147         741036
             12              1      195046482       10105490       11150000        2577666        1901252              0              0         676414      13.085111           -nan           -nan     363.554688      17.492958      101462100       8.393218       9.099740      22.055021        9041877         469543        2108123         228051         378005         469543         463566        2108123         212848         733348
             13              1      191003505        8703171       11248070        2586295        1905012              0              0         681283      13.069511           -nan           -nan     355.671661      16.981003      102192450       7.895670       9.085332      21.542635        9126719         464944        2121351         240464         382868         464944         458332        2121351         222951         738760
             14              1      188774870        7382564       11500000        2637814        1945741              0              0         692073      13.062559           -nan           -nan     347.626495      16.415205      103810950       7.388167       9.027040      20.920254        9335454         473268        2164546         241070         389882         473268         466627        2164546         225446         756340
             15              1      173914885        5579151       10840000        2490386        1832167              0              0         658219      13.058665           -nan           -nan     339.815826      16.043808       98732850       6.935612       9.108196      20.634062        8795708         446094        2044292         237241         373917         446094         439589        2044292         218630         718700
