           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1       53893314         524140        7999999        1767409        1695746           5448              0          66215      13.000000      69.613434           -nan     342.880646       6.736665        9932250       5.495134       1.241531       2.837981        6500344         267754        1499655         118758         212341         263958          52908        1498003          13307          50045
              1              1       80433697         839956       12000000        2731916        2634277           9459              0          88180      13.000000      52.139233           -nan     352.887970       6.702808       13227000       5.600558       1.102250       2.593138        9722010         453926        2277990         164264         334541         447418          75970        2275039          12210          64180
              2              1       61447670         725675        9000000        2009469        1931422           7475              0          70572      13.000000      63.365486           -nan     361.045929       6.827519       10585800       5.651319       1.176200       2.831082        7305449         314918        1694551         130462         243158         309241          57797        1692753          12775          54974
              3              1       75214688         883391       11000000        2503033        2412783           9826              0          80424      13.000000      62.509464           -nan     370.623077       6.837699       12063600       5.741008       1.096691       2.709726        8911993         415026        2088007         151302         306276         407388          69022        2085819          11402          60929
              4              1       74371377         608074       11000000        2447578        2351808           8067              0          87703      13.000000      49.238750           -nan     352.312317       6.761034       13155450       5.565084       1.195950       2.808986        8931866         379444        2068134         160387         295937         374100          71254        2065411          16449          65219
              5              1       66704138         563728       10000000        2224086        2136218           8975              0          78893      13.000000      42.933147           -nan     342.922546       6.670413       11833950       5.487019       1.183395       2.705419        8120455         344541        1879545         146583         268479         337509          63862        1877602          15031          60864
              6              1       46886498         378940        7000000        1599870        1543523           5298              0          51049      13.000001      44.342960           -nan     353.439453       6.698071        7657350       5.604164       1.093907       2.577533        5669273         269143        1330727          94773         196753         265418          44319        1329154           6730          37755
              7              1       68575980         735010       10000000        2220172        2131885           7524              0          80763      13.000000      63.934212           -nan     360.999481       6.857598       12114450       5.646153       1.211445       2.915540        8121664         341836        1878336         147108         268030         336984          65044        1875664          15719          60964
              8              1       75294497         774861       11000000        2420495        2321376           9273              0          89846      13.000000      50.588482           -nan     360.459991       6.844954       13476900       5.619781       1.225173       2.944172        8941612         362107        2058388         165696         290286         355790          71290        2055432          18556          68426
              9              1       77435805         653103       11568070        2620368        2524429          10538              0          85401      13.000000      44.692162           -nan     352.622406       6.693926       12810150       5.586555       1.107371       2.603226        9377201         429499        2190869         161001         319598         421501          72682        2188329          12719          62135
             10              1       86228459         610179       13000000        2947419        2840763          10440              0          96216      13.000000      45.099136           -nan     344.042175       6.632958       14432400       5.522774       1.110185       2.546335       10536593         484012        2463407         179676         359650         476438          81929        2460541          14287          71195
             11              1      128248820        1284409       19000000        4224164        4058472          15836              0         149856      13.000000      53.408752           -nan     352.296844       6.749938       22478400       5.566864       1.183074       2.778621       15430300         654464        3569700         277047         509126         642867         121798        3565461          28058         112182
             12              1      109807640        1340187       16000000        3595962        3460830          12604              0         122528      13.000001      50.085369           -nan     370.141205       6.862978       18379200       5.714277       1.148700       2.834541       12979914         575876        3020086         227087         436832         567345         102082        3016013          20446          90262
             13              1       54041093         537283        8000000        1819016        1753966           7220              0          57830      13.000000      57.401245           -nan     362.383636       6.755136        8674500       5.670824       1.084313       2.619581        6482319         301335        1517681         109668         222004         295884          49923        1515912           7907          41946
             14              1       74403359         815099       11000000        2448348        2352370           8463              0          87515      13.000000      52.259129           -nan     352.540405       6.763942       13127250       5.570555       1.193386       2.804780        8932264         380612        2067736         161063         296397         375148          71173        2064737          16342          66566
             15              1       60067743         545329        9000000        2037410        1963007           6360              0          68043      13.000001      62.531918           -nan     344.923462       6.674194       10206450       5.540143       1.134050       2.607736        7295715         333125        1704285         124793         248566         328597          57717        1702453          10326          49773
