           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1       53978466         580045        7999999        1767007        1695344           3634              0          68029      13.000000      69.410568           -nan     340.915344       6.747309       10204350       5.471765       1.275544       2.899017        6500344         267352        1499655         118234         212272         264989          54341        1498384          13688          51213
              1              1       80721206         935468       12000000        2731132        2633493           6376              0          91263      13.000000      51.153072           -nan     351.100586       6.726768       13689450       5.585979       1.140787       2.670208        9722010         453142        2277990         163047         334294         449212          78548        2275544          12715          66377
              2              1       61737439         775619        9000000        2008920        1930873           4682              0          73365      12.999999      61.827850           -nan     359.546417       6.859715       11004750       5.636965       1.222750       2.930902        7305449         314369        1694551         129796         243075         311165          60270        1693073          13095          55782
              3              1       75645111         941078       11000000        2502505        2412255           6289              0          83961      13.000000      62.243122           -nan     369.171570       6.876828       12594150       5.731905       1.144923       2.817819        8911993         414498        2088007         150176         306054         409882          72044        2086334          11917          62045
              4              1       74558280         685041       11000000        2447130        2351360           5768              0          90002      13.000000      50.192093           -nan     350.467560       6.778026       13500300       5.550725       1.227300       2.867526        8931866         378996        2068134         159835         295825         375504          73106        2065858          16896          67841
              5              1       67106056         594253       10000000        2223645        2135777           5609              0          82259      13.000000      42.848103           -nan     341.730438       6.710606       12338850       5.476721       1.233885       2.811040        8120455         344100        1879545         145569         268196         339892          66686        1878144          15573          61948
              6              1       47038487         414642        7000000        1599516        1543168           3565              0          52783      13.000000      42.986534           -nan     351.250488       6.719784        7917450       5.588719       1.131064       2.648579        5669273         268789        1330727          94330         196634         266548          45804        1329403           6979          38634
              7              1       68728632         806688       10000000        2219746        2131459           5282              0          83005      13.000000      63.624004           -nan     358.937317       6.872863       12450750       5.627788       1.245075       2.979359        8121664         341410        1878336         145947         267722         338327          66813        1876137          16192          62242
              8              1       75639951         852073       11000000        2419692        2320573           6011              0          93108      13.000000      49.603893           -nan     358.718994       6.876359       13966200       5.606705       1.269655       3.036328        8941612         361304        2058388         164346         289965         357560          73863        2056121          19245          70084
              9              1       77877995         700867       11568070        2619558        2523619           6792              0          89147      13.000000      44.424026           -nan     351.057617       6.732151       13372050       5.576206       1.155945       2.705355        9377201         428689        2190869         159705         319290         423863          75854        2188903          13293          63586
             10              1       86567335         666816       13000000        2946403        2839747           6778              0          99878      13.000000      44.881969           -nan     342.090576       6.659026       14981700       5.506587       1.152438       2.628256       10536593         482996        2463407         178410         359430         478629          85136        2460996          14742          73349
             11              1      128849997        1404799       19000000        4222799        4057107           9839              0         155853      13.000000      53.226650           -nan     350.524261       6.781579       23377950       5.551160       1.230418       2.875277       15430300         653099        3569700         275318         508888         646541         126837        3566419          29016         114812
             12              1      110261739        1473797       16000000        3594926        3459794           8471              0         126661      12.999999      50.414474           -nan     368.237152       6.891358       18999150       5.703912       1.187447       2.915080       12979914         574840        3020086         225046         436320         569697         105470        3016758          21191          92100
             13              1       54325876         599164        8000000        1818324        1753274           4393              0          60657      13.000000      56.384930           -nan     360.043121       6.790734        9098550       5.653416       1.137319       2.729892        6482319         300643        1517681         108737         221868         297538          52269        1516393           8388          43217
             14              1       74578941         874980       11000000        2447664        2351686           5957              0          90021      13.000000      53.660400           -nan     350.290588       6.779904       13503150       5.552345       1.227559       2.866683        8932264         379928        2067736         159559         295992         376449          73158        2065258          16863          67268
             15              1       60181736         596837        9000000        2036953        1962550           4035              0          70368      13.000000      59.576950           -nan     342.403534       6.686860       10555200       5.514060       1.172800       2.677139        7295715         332668        1704285         124346         248541         330126          59703        1702792          10665          51265
