           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1       53727565         383323        7291213        1827575        1750035              0              0          77540      13.002744           -nan           -nan     338.049957       7.368810       11631000       5.773602       1.595208       3.595066        5642588         178950        1648625           6066          40021         178950          75709        1648625           1831          30896
              1              1       69443927         560671        9200000        2258503        2153015              0              0         105488      13.000194           -nan           -nan     345.565613       7.548253       15823200       5.828340       1.719913       3.962285        7162159         220662        2037841          14236          53803         220662          96699        2037841           8789          49470
              2              1       65964482         600558        9000000        2171766        2081476              0              0          90290      13.001937           -nan           -nan     353.971191       7.329387       13543500       5.824554       1.504833       3.551118        7034603         206369        1965397           7621          46463         206369          88065        1965397           2225          36628
              3              1       71508561         764359        9100000        2293684        2186515              0              0         107169      13.001992           -nan           -nan     361.446991       7.858084       16075350       6.091562       1.766522       4.256694        7038035         231719        2061965          14609          58347         231719          98339        2061965           8830          53234
              4              1       63487696         514144        8800000        2127429        2040653              0              0          86776      13.000539           -nan           -nan     345.219818       7.214511       13016400       5.735374       1.479136       3.404181        6877935         205364        1922065           7626          46130         205364          84351        1922065           2425          36286
              5              1       73797036         563594        9000000        2366184        2234838              0              0         131346      13.000025           -nan           -nan     339.138885       8.199671       19701900       6.010571       2.189100       4.949393        6863395         229579        2136605          35546          77725         229579         102487        2136605          28859          90830
              6              1       63146132         569868        7900000        2012400        1908012              0              0         104388      13.001603           -nan           -nan     348.069885       7.993181       15658200       6.011131       1.982051       4.599281        6077729         190129        1822271          25605          62037         190129          83428        1822271          20960          71992
              7              1       67348430         664146        8300000        2067715        1953537              0              0         114178      13.001279           -nan           -nan     353.656494       8.114269       17126700       6.050811       2.063458       4.865035        6447519         215234        1852481          22004          61415         215234          98083        1852481          16095          64590
              8              1       70302969         721797        8500000        2212088        2095517              0              0         116571      13.003372           -nan           -nan     357.516846       8.270937       17485650       6.213802       2.057135       4.903070        6488505         200593        2011495          28947          64443         200593          92883        2011495          23688          75570
              9              1       66451475         539561        8600000        2164783        2061154              0              0         103629      13.001586           -nan           -nan     346.350006       7.726916       15544350       5.919433       1.807483       4.173477        6651824         216607        1948176          15530          53164         216607          94088        1948176           9541          48748
             10              1       72905083         528849        9800000        2410147        2298625              0              0         111522      13.000901           -nan           -nan     336.970520       7.439294       16728300       5.732325       1.706969       3.834656        7627251         237398        2172749          16191          61710         237398         102061        2172749           9461          56354
             11              1       87944251         767855       11200000        2876264        2737101              0              0         139163      13.001944           -nan           -nan     346.786560       7.852165       20874450       5.988375       1.863790       4.308916        8596845         273109        2603155          29443          81669         273109         116764        2603155          22399          86236
             12              1       70082342         774210        9400000        2281655        2185725              0              0          95930      13.002300           -nan           -nan     361.694489       7.455568       14389500       5.924770       1.530798       3.691208        7339909         221564        2060091          12847          53954         221564          88920        2060091           7010          48050
             13              1       72728151         766113        9000000        2324746        2208301              0              0         116445      13.001405           -nan           -nan     356.031799       8.080906       17466750       6.140156       1.940750       4.606458        6898317         223063        2101683          27068          72323         223063          95249        2101683          21196          78866
             14              1       63255618         505080        8400000        2028258        1931168              0              0          97090      13.001707           -nan           -nan     346.023407       7.530430       14563500       5.796681       1.733750       3.999454        6563574         191832        1836426          13183          46010         191832          88439        1836426           8651          45024
             15              1       57464029         415029        7900000        1989517        1909974              0              0          79543      13.000500           -nan           -nan     337.344757       7.273928       11931450       5.763618       1.510310       3.396635        6091952         181469        1808048           6643          43637         181469          77451        1808048           2092          35358
