           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1      167751404       12867988       10709999        2493412        1841505          52434              0         599473      12.999999      57.481747           -nan     343.750305      15.663065       89920950       7.267083       8.395982      19.240807        8690433         473846        2019566         247239         386076         445457         407092        1995521         192381         676995
              1              1      174766982       12746555       10850000        2531869        1874520          51707              0         605642      13.000000      51.850254           -nan     352.698639      16.107555       90846300       7.734625       8.372931      19.687475        8799640         481509        2050360         246222         390910         452544         413261        2027618         192381         680895
              2              1      183236772       14008674       10970000        2549381        1882124          51503              0         615754      13.000000      52.054462           -nan     362.465271      16.703444       92363100       8.283835       8.419608      20.345436        8906411         485792        2063589         250080         385438         457513         418552        2040365         197202         671152
              3              1      180789149       16126905       10450000        2440539        1804726          46496              0         589317      13.000000      57.563835           -nan     371.651215      17.300398       88397550       8.841301       8.459096      20.958889        8479301         469840        1970699         227475         366029         443253         406874        1950790         182443         646349
              4              1      191488883       13980391       11870000        2757329        2037207          56825              0         663297      13.000001      51.569679           -nan     353.131836      16.132172       99494550       7.750154       8.382018      19.733047        9635765         523094        2234235         273300         422799         492008         449420        2208496         213877         735845
              5              1      178066531       10809203       11410000        2664926        1968700          58003              0         638223      13.000000      44.886799           -nan     343.717010      15.606181       95733450       7.215870       8.390311      19.225950        9251652         506578        2158348         265251         410425         476126         434535        2130797         203688         714522
              6              1      170972114       11169071       10660000        2475075        1831621          49509              0         593945      12.999999      44.371628           -nan     352.728302      16.038660       89091750       7.681085       8.357575      19.653023        8655110         470185        2004890         239269         378929         442153         404223        1983413         189722         664541
              7              1      180029134       14121779       10790000        2526147        1870019          51092              0         605036      13.000001      50.914429           -nan     362.096497      16.684813       90755400       8.273747       8.411066      20.304115        8747799         483946        2042201         239662         385988         455175         416953        2019880         188083         677125
              8              1      192544153       15015311       11550000        2698593        1996940          55234              0         646419      13.000000      51.083282           -nan     362.258881      16.670490       96962850       8.275437       8.395052      20.274548        9364947         513540        2185053         262065         413569         483322         441898        2160037         204521         721929
              9              1      166696807       10904903       10310000        2408270        1781804          46063              0         580403      13.000000      43.977703           -nan     352.966583      16.168457       87060450       7.724186       8.444272      19.870306        8364259         462529        1945741         224040         363315         436219         400469        1925988         179934         642996
             10              1      167893453       10167940       10800000        2514826        1861852          51505              0         601469      13.000000      44.107388           -nan     343.795685      15.545691       90220350       7.191954       8.353736      19.146523        8763297         478123        2036703         242989         387502         449409         410760        2013912         190709         678440
             11              1      186264003       13559658       11460000        2672823        1975021          51339              0         646463      12.999999      50.559868           -nan     353.618011      16.253403       96969450       7.791846       8.461557      19.947727        9300600         513423        2159400         252085         399302         484217         444449        2137267         202014         702332
             12              1      192469394       17382358       11150000        2610153        1933739          49638              0         626776      13.000001      56.977516           -nan     371.583130      17.261829       94016400       8.829865       8.431964      20.887838        9041877         502030        2108123         240029         394087         473275         434811        2087240         191965         697339
             13              1      187342246       14400895       11248070        2619633        1938350          53013              0         628270      13.000000      50.696903           -nan     362.600952      16.655500       94240500       8.277130       8.378370      20.253368        9126719         498282        2121351         253804         400631         468909         428959        2097711         199311         699855
             14              1      184670302       13509683       11500000        2671535        1979462          52766              0         639307      13.000000      50.801613           -nan     352.987457      16.058287       95896050       7.719501       8.338787      19.623249        9335454         506989        2164546         254257         407189         476885         436523        2141884         202784         717104
             15              1      169940476       12737944       10840000        2522737        1864518          52103              0         606116      13.000000      57.325932           -nan     344.291351      15.677166       90917400       7.289951       8.387214      19.250969        8795708         478445        2044292         250448         391099         449604         410748        2021030         195368         681051
