           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1       29195016          41693        4999999        1282775        1274891              0              0           7884      13.000550           -nan           -nan     336.334229       5.839005        1182600       5.602484       0.236520       0.530332        3838384         121160        1161615           4478          31399         121160           7658        1161615            226           3650
              1              1       64341903         103023       11000000        2835519        2819113              0              0          16406      13.000275           -nan           -nan     345.002869       5.849264        2460900       5.625546       0.223718       0.514556        8412571         248090        2587429           9219          63188         248090          15989        2587429            417           7718
              2              1       42945102          91752        7000000        1563955        1533220              0              0          30735      13.002979           -nan           -nan     368.010040       6.135015        4610250       5.476408       0.658607       1.615827        5574794         138749        1425206           5179          23575         138749          30484        1425206            251           4718
              3              1       59106451         160705        7000000        2042585        1962714              0              0          79871      13.001213           -nan           -nan     384.334656       8.443779       11980650       6.732257       1.711521       4.385314        5085761         128346        1914239          72449          97155         128346          12383        1914239          67488         139872
              4              1       45619456          80034        8000000        1914347        1900809              0              0          13538      13.000084           -nan           -nan     345.879761       5.702432        2030700       5.448595       0.253837       0.585315        6263882         178229        1736118           7223          42183         178229          13194        1736118            344           5660
              5              1       43618130          60402        7391214        1928590        1916205              0              0          12385      13.000262           -nan           -nan     337.249817       5.901348        1857750       5.650003       0.251346       0.565109        5606424         143800        1784790           4625          40419         143800          12061        1784790            324           5454
              6              1       38668781          67093        7000000        1559904        1548642              0              0          11262      13.000727           -nan           -nan     346.680969       5.524111        1689300       5.282783       0.241329       0.557760        5581440         141344        1418560           6191          31051         141344          10948        1418560            314           4774
              7              1       50344715         106359        9000000        2034155        2018592              0              0          15563      13.000232           -nan           -nan     355.938202       5.593857        2334450       5.334474       0.259383       0.615496        7149959         184114        1850041           7294          44287         184114          15161        1850041            402           6626
              8              1       61457299         164913       10000000        2512248        2479049              0              0          33199      13.001640           -nan           -nan     353.691071       6.145730        4979850       5.647745       0.497985       1.174219        7722386         234634        2277614          15494          64093         234634          25932        2277614           7267          22082
              9              1       51948403          97027        9000000        2207280        2191520              0              0          15760      13.000782           -nan           -nan     345.353363       5.772045        2364000       5.509378       0.262667       0.604752        6990628         197908        2009372           7707          52965         197908          15316        2009372            444           7168
             10              1       66723136         101658       11000000        2708059        2672658              0              0          35401      13.000972           -nan           -nan     350.563843       6.065740        5310150       5.582999       0.482741       1.128210        8524181         232240        2475819           8792          49988         232240          34891        2475819            510           7738
             11              1      113075446         174260       14000000        3810597        3631288              0              0         179309      13.000894           -nan           -nan     346.851532       8.076818       26896350       6.155650       1.921168       4.442400       10583488         394085        3416512          83509         150151         394085         110657        3416512          68652         146746
             12              1       84791412         175550       13000000        3227414        3161768              0              0          65646      13.001538           -nan           -nan     368.837463       6.522416        9846900       5.764963       0.757454       1.862516       10073560         300974        2926440          25083          79246         300974          51867        2926440          13779          35828
             13              1       38806320          84474        7000000        1532142        1519103              0              0          13039      13.001281           -nan           -nan     353.425354       5.543760        1955850       5.264353       0.279407       0.658330        5604679         136821        1395321           5180          29845         136821          12750        1395321            289           5064
             14              1       56010811         135595        9000000        2205065        2169998              0              0          35067      13.002484           -nan           -nan     361.328033       6.223423        5260050       5.638973       0.584450       1.407854        6989014         194079        2010986           9648          40976         194079          32349        2010986           2718          11338
             15              1       40306125          56093        7000000        1745733        1735079              0              0          10654      13.000646           -nan           -nan     336.425293       5.758018        1598100       5.529718       0.228300       0.512039        5400989         146722        1599011           5502          38323         146722          10373        1599011            281           4876
