           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1       54047045        1235373        7291213        1831853        1754313           5160              0          72380      12.999999      60.841862           -nan     351.007904       7.412627       10857000       5.923574       1.489053       3.484462        5642588         183228        1648625           6871          40198         178247          70728        1648446           1652          29697
              1              1       69815490        1549644        9200000        2265031        2159543           7689              0          97799      13.000000      51.352711           -nan     360.039703       7.588640       14669850       5.994092       1.594549       3.827340        7162159         227190        2037841          15238          54041         219743          89252        2037599           8547          47981
              2              1       66572858        1448365        9000000        2177862        2087572           7224              0          83066      13.000000      53.043190           -nan     373.735626       7.396984       12459900       6.012551       1.384433       3.449414        7034603         212465        1965397           8618          46676         205455          81055        1965183           2011          35132
              3              1       72438656        1748204        9100000        2299660        2192491           7189              0          99980      13.000000      59.012798           -nan     381.156311       7.960292       14997000       6.312270       1.648022       4.187693        7038035         237695        2061965          15691          58579         230744          91388        2061727           8592          51701
              4              1       63703259        1274663        8800000        2134605        2047829           8265              0          78511      12.999999      49.839928           -nan     362.369873       7.239007       11776650       5.900751       1.338256       3.232957        6877935         212540        1922065           8605          46341         204488          76299        1921852           2212          34831
              5              1       73788203        1316248        9000000        2372102        2240756           7069              0         124277      13.000000      45.127033           -nan     346.783630       8.198689       18641550       6.127406       2.071283       4.788581        6863395         235497        2136605          36587          77944         228653          95643        2136380          28634          89300
              6              1       63243058        1131037        7900000        2017310        1912922           5848              0          98540      13.000000      44.629276           -nan     357.692383       8.005450       14781000       6.134438       1.871013       4.461647        6077729         195039        1822271          26501          62206         189362          77751        1822100          20789          70641
              7              1       67856873        1470436        8300000        2073671        1959493           6905              0         107273      12.999999      53.220421           -nan     367.547668       8.175527       16090950       6.236858       1.938669       4.750354        6447519         221190        1852481          22867          61647         214518          91411        1852248          15862          63146
              8              1       70464824        1620596        8500000        2217837        2101266           6763              0         109808      13.000000      51.492088           -nan     368.141083       8.289979       16471200       6.352191       1.937788       4.755863        6488505         206342        2011495          29876          64662         199801          86342        2011273          23466          74170
              9              1       66748213        1267031        8600000        2170740        2067111           7020              0          96609      13.000001      42.887180           -nan     359.989990       7.761420       14491350       6.076379       1.685041       4.043985        6651824         222564        1948176          16472          53388         215769          87293        1947951           9316          47339
             10              1       73009445        1213125        9800000        2417644        2306122           8732              0         102790      13.000000      44.922585           -nan     349.343597       7.449944       15418500       5.876627       1.573316       3.664186        7627251         244895        2172749          17274          61998         236456          93622        2172456           9168          54700
             11              1       88252685        1932270       11200000        2884516        2745353           9622              0         129541      13.000000      53.295158           -nan     359.229797       7.879704       19431150       6.144780       1.734924       4.154910        8596845         281361        2603155          30679          81964         272044         107447        2602850          22094          84261
             12              1       70760951        1936088        9400000        2288676        2192746           8221              0          87709      13.000000      55.242306           -nan     383.352722       7.527761       13156350       6.128149       1.399612       3.576966        7339909         228585        2060091          13865          54222         220632          80967        2059823           6742          46422
             13              1       73151963        1686093        9000000        2330643        2214198           7006              0         109439      13.000000      51.296890           -nan     369.299652       8.127995       16415850       6.304012       1.823983       4.490643        6898317         228960        2101683          28095          72509         222149          88438        2101488          21001          77288
             14              1       63521877        1396539        8400000        2034185        1937095           7035              0          90055      13.000001      48.791046           -nan     359.860107       7.562128       13508250       5.954003       1.608125       3.858000        6563574         197759        1836426          14119          46242         190960          81640        1836190           8415          43667
             15              1       57645068        1301972        7900000        1995269        1915726           6691              0          72852      13.000000      56.162159           -nan     351.101624       7.296844       10927800       5.913578       1.383266       3.237779        6091952         187221        1808048           7544          43807         180700          70930        1807878           1922          34005
