           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1       47388093         346295        7291213        1871764        1794224          58094              0          19446      13.000000      59.689159           -nan     373.040833       6.499343        2916900       6.099286       0.400057       0.994917        5642588         223139        1648625          17891          41367         166528          19098        1647142            348          18050
              1              1       60925837         369354        9200000        2313532        2208044          71964              0          33524      13.000000      52.172836           -nan     382.886749       6.622374        5028600       6.075787       0.546587       1.395206        7162159         275691        2037841          28117          55570         205755          26763        2035813           6761          33731
              2              1       56912550         345136        9000000        2225016        2134726          69454              0          20836      13.000000      53.255825           -nan     396.560272       6.323617        3125400       5.976350       0.347267       0.918081        7034603         259619        1965397          21225          48123         191992          20438        1963570            398          21186
              3              1       61978978         376781        9100000        2350156        2242987          74793              0          32376      13.000000      57.872929           -nan     404.575134       6.810876        4856400       6.277206       0.533670       1.439398        7038035         288191        2061965          29842          60254         215542          25690        2059821           6686          35997
              4              1       54656193         248294        8800000        2181533        2094757          69747              0          17029      12.999999      50.637489           -nan     387.074280       6.210931        2554350       5.920664       0.290267       0.749033        6877935         259468        1922065          21187          48021         191762          16645        1920024            384          20692
              5              1       65269404         408487        9000000        2421814        2290468          72884              0          58462      13.000000      45.041134           -nan     363.403290       7.252156        8769300       6.277789       0.974367       2.360587        6863395         285209        2136605          50322          79673         214489          31767        2134441          26695          73965
              6              1       55014052         354519        7900000        2060456        1956068          63566              0          40822      13.000000      44.126324           -nan     376.877716       6.963804        6123300       6.188703       0.775101       1.947456        6077729         238185        1822271          38726          63493         176270          21513        1820620          19309          57570
              7              1       58751480         390893        8300000        2119295        2005117          68628              0          45550      12.999999      50.913124           -nan     383.782166       7.078492        6832500       6.255299       0.823193       2.106178        6447519         266814        1852481          36413          63413         200435          31704        1850232          13846          48578
              8              1       62773749         654751        8500000        2259933        2143362          62222              0          54349      13.000000      52.204605           -nan     388.119659       7.385147        8152350       6.426047       0.959100       2.481637        6488505         248438        2011495          41024          66079         188104          32549        2009607          21800          62270
              9              1       57791403         367041        8600000        2216761        2113132          68166              0          35463      13.000000      43.125679           -nan     382.108521       6.719931        5319450       6.101390       0.618541       1.575665        6651824         268585        1948176          28939          55018         202514          28017        1946081           7446          33979
             10              1       63513068         279782        9800000        2470201        2358679          79009              0          32513      13.000000      45.481339           -nan     373.523163       6.480925        4876950       5.983277       0.497648       1.239220        7627251         297452        2172749          32722          63997         220974          25583        2170218           6930          37960
             11              1       77357964         545198       11200000        2945279        2806116          89937              0          49226      13.000000      52.497826           -nan     381.438599       6.906961        7383900       6.247684       0.659277       1.676491        8596845         342124        2603155          47541          84176         254931          29571        2600411          19655          65524
             12              1       59935848         447535        9400000        2339646        2243716          75026              0          20904      13.000000      55.886894           -nan     408.013214       6.376154        3135600       6.042580       0.333574       0.907352        7339909         279555        2060091          26862          55632         206434          15799        2058186           5105          31847
             13              1       63394996         470352        9000000        2379859        2263414          74073              0          42372      13.000000      50.415577           -nan     394.872986       7.043889        6355800       6.337688       0.706200       1.859062        6898317         278176        2101683          43175          74369         206375          23448        2099411          18924          61401
             14              1       55738532         423539        8400000        2077189        1980099          63616              0          33474      13.000001      49.585655           -nan     385.238434       6.635540        5021100       6.037789       0.597750       1.535175        6563574         240763        1836426          25179          47595         178963          26639        1834610           6835          31546
             15              1       50344401         255437        7900000        2037920        1958377          64104              0          15439      12.999999      54.437477           -nan     396.751740       6.372709        2315850       6.079564       0.293146       0.775373        6091952         229872        1808048          20312          45277         167562          15141        1806254            298          19831
