           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1       54295997         663967        7999999        1765994        1694331            839              0          70824      13.000001      70.518471           -nan     340.733551       6.787000       10623600       5.459050       1.327950       3.016515        6500344         266339        1499655         116969         211514         265819          56184        1499336          14640          53764
              1              1       81482724        1065576       12000000        2729577        2631938           1146              0          96493      12.999999      50.068062           -nan     351.039276       6.790226       14473950       5.584064       1.206162       2.822736        9722010         451587        2277990         161145         332874         451064          81955        2277367          14538          69710
              2              1       62288230         879555        9000000        2007472        1929425            707              0          77340      12.999999      56.205093           -nan     359.314514       6.920915       11601000       5.631915       1.289000       3.087709        7305449         312921        1694551         128014         242100         312453          63006        1694312          14334          58506
              3              1       76457330        1081198       11000000        2500543        2410293            900              0          89350      13.000000      59.439999           -nan     369.044800       6.950666       13402500       5.732257       1.218409       2.997650        8911993         412536        2088007         147992         304936         412010          76134        2087633          13216          65284
              4              1       75237055         789303       11000000        2445612        2349842           1047              0          94723      13.000000      53.796562           -nan     350.264130       6.839732       14208450       5.548055       1.291677       3.016188        8931866         377478        2068134         157940         294618         376891          76011        2067674          18712          70578
              5              1       67769535         673562       10000000        2221727        2133859            928              0          86940      13.000000      40.543102           -nan     341.591034       6.776954       13041000       5.472854       1.304100       2.969792        8120455         342182        1879545         143608         267209         341452          70164        1879347          16776          64769
              6              1       47500107         480607        7000000        1598426        1542078            503              0          55845      13.000000      43.333996           -nan     351.030975       6.785730        8376750       5.589051       1.196679       2.800475        5669273         267699        1330727          93162         195865         267301          47647        1330622           8198          40753
              7              1       69375993         923821       10000000        2218483        2130196            645              0          87642      13.000000      63.781395           -nan     358.778381       6.937599       13146300       5.622969       1.314630       3.144406        8121664         340147        1878336         144562         266508         339718          69467        1878120          18175          65361
              8              1       76446454         981800       11000000        2418308        2319189            896              0          98223      13.000000      49.629463           -nan     358.784637       6.949678       14733450       5.610273       1.339405       3.203719        8941612         359920        2058388         162574         288549         359288          76975        2058124          21248          73492
              9              1       78773452         801400       11568070        2617546        2521607            873              0          95066      13.000000      42.697594           -nan     350.952118       6.809559       14259900       5.576864       1.232695       2.884112        9377201         426677        2190869         157483         317935         426008          80011        2190665          15055          66458
             10              1       87394914         768093       13000000        2944525        2837869            933              0         105723      13.000000      46.446945           -nan     341.943634       6.722685       15858450       5.502805       1.219881       2.780870       10536593         481118        2463407         176219         357893         480453          88838        2463139          16885          77121
             11              1      130047277        1622971       19000000        4219899        4054207           1337              0         164355      13.000000      51.831715           -nan     350.377136       6.844594       24653250       5.547054       1.297539       3.030854       15430300         650199        3569700         271961         506707         649217         132413        3569345          31942         120633
             12              1      111402167        1728486       16000000        3592938        3457806           1579              0         133553      13.000001      50.409752           -nan     368.264709       6.962636       20032950       5.710576       1.252059       3.073929       12979914         572852        3020086         222599         434325         571849         109610        3019510          23943          97816
             13              1       54877752         693527        8000000        1817119        1752069            709              0          64341      12.999999      61.160789           -nan     359.957092       6.859719        9651150       5.653325       1.206394       2.895000        6482319         299438        1517681         107287         220975         298988          54924        1517422           9417          45568
             14              1       75296144        1006573       11000000        2446426        2350448           1004              0          94974      13.000000      55.836655           -nan     350.302582       6.845104       14246100       5.550004       1.295100       3.024513        8932264         378690        2067736         158067         294540         378109          76056        2067313          18918          71158
             15              1       60592617         684441        9000000        2035683        1961280            576              0          73827      13.000000      56.854168           -nan     341.938965       6.732513       11074050       5.502063       1.230450       2.804925        7295715         331398        1704285         122910         247622         331026          61873        1704081          11954          53862
