           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1       93788784        3118794        8339999        2417699        2042792         205616              0         169291      13.000000      57.695705           -nan     372.117126      11.245659       25393650       8.200856       3.044802       7.553488        6454154         531854        1885845          49239          81414         332370         154566        1879713          14725         116302
              1              1       97906330        3054812        8630000        2505622        2117509         210045              0         178068      13.000000      51.794571           -nan     380.958923      11.344882       26710200       8.249841       3.095041       7.860555        6670825         546447        1959175          53022          87039         342755         161338        1952822          16730         125513
              2              1      100606654        3156023        8830000        2549006        2155061         218771              0         175174      13.000000      51.878159           -nan     392.036163      11.393732       26276100       8.417956       2.975776       7.777411        6840108         559114        1989892          53125          86690         346847         159164        1983388          16010         123451
              3              1      101368969        3739623        8480000        2447517        2067003         205899              0         174615      13.000001      57.850407           -nan     404.784180      11.953888       26192250       8.865179       3.088709       8.335070        6568730         536247        1911270          50633          85177         336680         158701        1904938          15914         123980
              4              1      106241006        3168942        9510000        2737402        2315163         235548              0         186691      13.000000      51.054153           -nan     384.614349      11.171505       28003650       8.226851       2.944653       7.550372        7378036         605438        2131964          53416          91268         376856         173639        2124998          13052         128810
              5              1       99214469        2527255        9030000        2626244        2223078         217516              0         185650      13.000000      44.793964           -nan     372.783630      10.987206       27847500       7.903319       3.083887       7.664151        6974716         570960        2055284          49761          88515         359854         172430        2048874          13220         127469
              6              1       95261893        2528375        8580000        2479686        2101897         203796              0         173993      13.000000      44.645294           -nan     382.984985      11.102785       26098950       8.060949       3.041836       7.766516        6636030         535716        1943970          46655          81768         337846         161783        1938044          12210         117546
              7              1       97537196        2962075        8580000        2462727        2084718         210477              0         167532      13.000000      50.795776           -nan     397.073395      11.367972       25129800       8.439090       2.928881       7.753205        6660199         542926        1919801          46067          80202         338536         157822        1913714           9710         112725
              8              1      104949667        3261160        9130000        2656746        2250963         225636              0         180147      13.000000      51.041325           -nan     398.411682      11.495034       27022050       8.535336       2.959699       7.861191        7050127         576873        2079873          54356          90567         357903         165723        2073207          14424         129416
              9              1       93417566        2615484        8340000        2437067        2066542         200485              0         170040      13.000000      43.851795           -nan     385.545135      11.201147       25506000       8.142874       3.058273       7.860683        6428275         525342        1911725          45950          82663         330761         157536        1905821          12504         120352
             10              1       93855546        2407534        8610000        2484080        2101044         212917              0         170119      13.000000      44.101444           -nan     377.924377      10.900760       25517850       7.937015       2.963746       7.467144        6675546         549626        1934454          46518          82679         343139         159185        1928024          10934         116853
             11              1      105938683        3326886        9211214        2667770        2254576         223761              0         189433      13.000000      50.971737           -nan     390.683411      11.501055       28414950       8.416234       3.084821       8.034590        7125940         582496        2085274          55537          93183         365353         171758        2078656          17675         135813
             12              1      106285175        3841539        8920000        2587650        2194251         216336              0         177063      13.000000      56.763035           -nan     412.522247      11.915379       26559450       8.937861       2.977517       8.188613        6891855         559505        2028145          50446          86199         349323         163078        2021991          13985         124483
             13              1      104743444        3169471        9110000        2623372        2224518         221145              0         177709      13.000000      51.802280           -nan     402.710938      11.497633       26656350       8.571580       2.926054       7.855693        7057511         570883        2052489          49142          85432         355955         165390        2046272          12319         121765
             14              1      102270639        2987022        9160000        2633625        2234626         227692              0         171307      13.000000      50.955643           -nan     395.402588      11.164917       25696050       8.359672       2.805246       7.394676        7103438         577063        2056562          49978          85539         355553         159093        2050380          12214         120532
             15              1      102516342        3302394        8930000        2602696        2209539         217464              0         175693      13.000000      57.279549           -nan     391.069275      11.479994       26353950       8.528823       2.951170       7.694080        6886650         559346        2043350          51190          87495         347926         161456        2037306          14237         126305
